#pokedexnum,name,hp,atk,def,spa,spd,spe,type1,type2
1,Bulbasaur,45,49,49,65,65,45,GRASS,POISON
2,Ivysaur,60,62,63,80,80,60,GRASS,POISON
3,Venusaur,80,82,83,100,100,80,GRASS,POISON
4,Charmander,39,52,43,60,50,65,FIRE,null
5,Charmeleon,58,64,58,80,65,80,FIRE,null
6,Charizard,78,84,78,109,85,100,FIRE,FLYING
7,Squirtle,44,48,65,50,64,43,WATER,null
8,Wartortle,59,63,80,65,80,58,WATER,null
9,Blastoise,79,83,100,85,105,78,WATER,null
10,Caterpie,45,30,35,20,20,45,BUG,null
11,Metapod,50,20,55,25,25,30,BUG,null
12,Butterfree,60,45,50,80,80,70,BUG,FLYING
13,Weedle,40,35,30,20,20,50,BUG,POISON
14,Kakuna,45,25,50,25,25,35,BUG,POISON
15,Beedrill,65,80,40,45,80,75,BUG,POISON
16,Pidgey,40,45,40,35,35,56,NORMAL,FLYING
17,Pidgeotto,63,60,55,50,50,71,NORMAL,FLYING
18,Pidgeot,83,80,75,70,70,91,NORMAL,FLYING
19,Rattata,30,56,35,25,35,72,NORMAL,null
20,Raticate,55,81,60,50,70,97,NORMAL,null
21,Spearow,40,60,30,31,31,70,NORMAL,FLYING
22,Fearow,65,90,65,61,61,100,NORMAL,FLYING
23,Ekans,35,60,44,40,54,55,POISON,null
24,Arbok,60,85,69,65,79,80,POISON,null
25,Pikachu,35,55,30,50,40,90,ELECTRIC,null
26,Raichu,60,90,55,90,80,100,ELECTRIC,null
27,Sandshrew,50,75,85,20,30,40,GROUND,null
28,Sandslash,75,100,110,45,55,65,GROUND,null
29,Nidoran F,55,47,52,40,40,41,POISON,null
30,Nidorina,70,62,67,55,55,56,POISON,null
31,Nidoqueen,90,82,87,75,85,76,POISON,GROUND
32,Nidoran M,46,57,40,40,40,50,POISON,null
33,Nidorino,61,72,57,55,55,65,POISON,null
34,Nidoking,81,92,77,85,75,85,POISON,GROUND
35,Clefairy,70,45,48,60,65,35,NORMAL,null
36,Clefable,95,70,73,85,90,60,NORMAL,null
37,Vulpix,38,41,40,50,65,65,FIRE,null
38,Ninetales,73,76,75,81,100,100,FIRE,null
39,Jigglypuff,115,45,20,45,25,20,NORMAL,null
40,Wigglytuff,140,70,45,75,50,45,NORMAL,null
41,Zubat,40,45,35,30,40,55,POISON,FLYING
42,Golbat,75,80,70,65,75,90,POISON,FLYING
43,Oddish,45,50,55,75,65,30,GRASS,POISON
44,Gloom,60,65,70,85,75,40,GRASS,POISON
45,Vileplume,75,80,85,100,90,50,GRASS,POISON
46,Paras,35,70,55,45,55,25,BUG,GRASS
47,Parasect,60,95,80,60,80,30,BUG,GRASS
48,Venonat,60,55,50,40,55,45,BUG,POISON
49,Venomoth,70,65,60,90,75,90,BUG,POISON
50,Diglett,10,55,25,35,45,95,GROUND,null
51,Dugtrio,35,80,50,50,70,120,GROUND,null
52,Meowth,40,45,35,40,40,90,NORMAL,null
53,Persian,65,70,60,65,65,115,NORMAL,null
54,Psyduck,50,52,48,65,50,55,WATER,null
55,Golduck,80,82,78,95,80,85,WATER,null
56,Mankey,40,80,35,35,45,70,FIGHTING,null
57,Primeape,65,105,60,60,70,95,FIGHTING,null
58,Growlithe,55,70,45,70,50,60,FIRE,null
59,Arcanine,90,110,80,100,80,95,FIRE,null
60,Poliwag,40,50,40,40,40,90,WATER,null
61,Poliwhirl,65,65,65,50,50,90,WATER,null
62,Poliwrath,90,85,95,70,90,70,WATER,FIGHTING
63,Abra,25,20,15,105,55,90,PSYCHIC,null
64,Kadabra,40,35,30,120,70,105,PSYCHIC,null
65,Alakazam,55,50,45,135,85,120,PSYCHIC,null
66,Machop,70,80,50,35,35,35,FIGHTING,null
67,Machoke,80,100,70,50,60,45,FIGHTING,null
68,Machamp,90,130,80,65,85,55,FIGHTING,null
69,Bellsprout,50,75,35,70,30,40,GRASS,POISON
70,Weepinbell,65,90,50,85,45,55,GRASS,POISON
71,Victreebel,80,105,65,100,60,70,GRASS,POISON
72,Tentacool,40,40,35,50,100,70,WATER,POISON
73,Tentacruel,80,70,65,80,120,100,WATER,POISON
74,Geodude,40,80,100,30,30,20,ROCK,GROUND
75,Graveler,55,95,115,45,45,35,ROCK,GROUND
76,Golem,80,110,130,55,65,45,ROCK,GROUND
77,Ponyta,50,85,55,65,65,90,FIRE,null
78,Rapidash,65,100,70,80,80,105,FIRE,null
79,Slowpoke,90,65,65,40,40,15,WATER,PSYCHIC
